node_id	gene_symbol
952	CEP76
953	CEP78
954	CERNA2
955	CES2
956	CETN2
957	CETN3
958	CFAP20
959	CFAP74
960	CFAP99
961	CFB
962	CFL1
963	CFL2
964	CFLAR
965	CFTR
966	CGGBP1
967	CGN
968	CGREF1
969	CGRRF1
970	CH25H
971	CHAC1
972	CHAC2
973	CHAF1A
974	CHAF1B
975	CHAT
976	CHCHD1
977	CHCHD2
978	CHCHD3
979	CHCHD6
980	CHD1
981	CHD1L
982	CHD4
983	CHD7
984	CHDH
985	CHEK1
986	CHEK2
987	CHERP
988	CHMP1A
989	CHMP1B
990	CHMP2B
991	CHMP4A
992	CHMP4C
993	CHMP5
994	CHMP7
995	CHN1
996	CHPT1
997	CHRNA1
998	CHRNA4
999	CHRNA5
1000	CHRNB4
1001	CHST14
1002	CHST8
1003	CHSY3
1004	CHUK
1005	CIAPIN1
1006	CIC
1007	CIDEA
1008	CIDEB
1009	CIR1
1010	CIT
1011	CITED2
1012	CKAP2
1013	CKAP4
1014	CKAP5
1015	CKMT1B
1016	CKS1B
1017	CKS2
1018	CLASP1
1019	CLASP2
1020	CLC
1021	CLCA2
1022	CLCF1
1023	CLCN1
1024	CLCN7
1025	CLDN1
1026	CLDN10
1027	CLDN23
1028	CLDN3
1029	CLDN4
1030	CLDND1
1031	CLEC1A
1032	CLEC2D
1033	CLEC4E
1034	CLEC4GP1
1035	CLIC1
1036	CLIC3
1037	CLIC4
1038	CLINT1
1039	CLIP1
1040	CLIP3
1041	CLIP4
1042	CLK2
1043	CLK4
1044	CLMN
1045	CLPP
1046	CLPTM1
1047	CLPTM1L
1048	CLPX
1049	CLSPN
1050	CLSTN3
1051	CLTA
1052	CLTB
1053	CLTC
1054	CLU
1055	CLUH
1056	CMAS
1057	CMC2
1058	CMPK1
1059	CMTM4
1060	CMTR1
1061	CNBP
1062	CNGA2
1063	CNGA3
1064	CNIH1
1065	CNIH4
1066	CNKSR1
1067	CNN3
1068	CNNM3
1069	CNNM4
1070	CNOT1
1071	CNOT10
1072	CNOT11
1073	CNOT3
1074	CNOT4
1075	CNOT6
1076	CNOT6L
1077	CNOT7
1078	CNOT8
1079	CNOT9
1080	CNPY3
1081	CNR1
1082	CNR2
1083	CNTD1
1084	CNTN4
1085	CNTN5
1086	CNTNAP1
1087	CNTRL
1088	COBLL1
1089	COCH
1090	COG2
1091	COIL
1092	COL11A1
1093	COL12A1
1094	COL1A1
1095	COL24A1
1096	COL3A1
1097	COL4A2
1098	COL4A3
1099	COL4A4
1100	COL5A3
1101	COL6A2
1102	COMMD10
1103	COMMD2
1104	COMMD3
1105	COMMD5
1106	COMMD8
1107	COPA
1108	COPB2
1109	COPS2
1110	COPS3
1111	COPS4
1112	COPS5
1113	COPS7B
1114	COPS8
1115	COPS9
1116	COPZ1
1117	COQ3
1118	CORIN
1119	CORO1A
1120	CORO1B
1121	CORO2A
1122	CORO7
1123	COX4I1
1124	COX4I2
1125	COX5A
1126	COX6A2
1127	COX6C
1128	COX7B
1129	CPA4
1130	CPEB3
1131	CPN2
1132	CPNE1
1133	CPNE3
1134	CPNE4
1135	CPNE5
1136	CPQ
1137	CPSF1
1138	CPSF2
1139	CPSF3
1140	CPSF4
1141	CPSF6
1142	CPSF7
1143	CR1
1144	CRABP1
1145	CRABP2
1146	CRADD
1147	CRAMP1
1148	CRAT
1149	CRB3
1150	CRBN
1151	CRCP
1152	CREB1
1153	CREB3
1154	CREB3L2
1155	CREBBP
1156	CREBZF
1157	CREG1
1158	CRELD2
1159	CRIM1
1160	CRISP1
1161	CRLS1
1162	CRNKL1
1163	CRNN
1164	CROCC
1165	CRP
1166	CRTAP
1167	CRTC1
1168	CRY1
1169	CRY2
1170	CRYBB2
1171	CRYBG2
1172	CRYL1
1173	CRYM
1174	CRYZP1
